Date,Open,High,Low,Close,Adj Close,Volume
2023-01-23,3.096000,3.134500,3.087500,3.095500,3.039586,30283262
2023-01-24,3.100000,3.113500,3.062500,3.104000,3.047932,30424526
2023-01-25,3.084000,3.098500,3.052500,3.093500,3.037621,88130262
2023-01-26,3.110000,3.194000,3.109500,3.194000,3.136306,61301367
2023-01-27,3.195500,3.210000,3.158500,3.171500,3.114213,49584646
2023-01-30,3.168000,3.208000,3.155500,3.195000,3.137288,30086301
2023-01-31,3.223000,3.249000,3.193000,3.203000,3.145144,43484203
2023-02-01,3.220000,3.296500,3.219500,3.248500,3.189822,63833194
2023-02-02,3.300000,3.492500,3.279500,3.434500,3.372462,143215352
2023-02-03,3.423500,3.537000,3.402000,3.498500,3.435306,100516501
2023-02-06,3.450000,3.480000,3.429500,3.445500,3.383263,36831771
2023-02-07,3.474000,3.535000,3.463500,3.520000,3.456418,44052303
2023-02-08,3.540000,3.570000,3.505000,3.528500,3.464764,38791135
2023-02-09,3.541500,3.561000,3.502000,3.502000,3.438743,42555227
2023-02-10,3.500000,3.519000,3.425000,3.448500,3.386209,41695555
2023-02-13,3.450500,3.489500,3.441000,3.480500,3.417631,18550429
2023-02-14,3.496000,3.518000,3.466000,3.500500,3.437270,25655406
2023-02-15,3.495000,3.509000,3.454500,3.471000,3.408303,35425274
2023-02-16,3.498000,3.555500,3.494500,3.554000,3.489804,52748467
2023-02-17,3.521500,3.562000,3.502000,3.524000,3.460346,66010318
2023-02-20,3.533000,3.548000,3.502000,3.510500,3.447089,14591522
2023-02-21,3.505000,3.545000,3.446000,3.523000,3.459364,38530653
2023-02-22,3.490000,3.509000,3.445000,3.467000,3.404375,29815790
2023-02-23,3.482500,3.532000,3.472000,3.520000,3.456418,39896529
2023-02-24,3.523000,3.568000,3.480000,3.480000,3.417140,57457126
2023-02-27,3.508000,3.580000,3.501500,3.552500,3.488331,37749636
2023-02-28,3.550000,3.748500,3.536000,3.722500,3.655260,83049731
2023-03-01,3.734500,3.762500,3.681500,3.690000,3.623347,42073738
2023-03-02,3.670000,3.693000,3.615000,3.683500,3.616965,41321539
2023-03-03,3.695000,3.802000,3.685500,3.797000,3.728414,42550366
2023-03-06,3.815500,3.860000,3.795500,3.858000,3.788312,35510341
2023-03-07,3.846500,3.872500,3.765500,3.765500,3.697483,73167301
2023-03-08,3.739500,3.854500,3.710000,3.819000,3.750017,49783389
2023-03-09,3.805500,3.818000,3.768500,3.768500,3.700429,29435723
2023-03-10,3.600000,3.650000,3.508000,3.610000,3.544792,93423864
2023-03-13,3.591000,3.601000,3.284500,3.344500,3.284088,118850021
2023-03-14,3.326000,3.477000,3.292500,3.445500,3.383263,80632141
2023-03-15,3.466500,3.466500,3.152000,3.208000,3.150054,115638529
2023-03-16,3.318000,3.374500,3.197000,3.291500,3.232045,117303206
2023-03-17,3.316500,3.385500,3.104500,3.138500,3.081809,210488095
2023-03-20,3.102500,3.262000,2.942000,3.225500,3.167238,118626981
2023-03-21,3.312000,3.408500,3.297500,3.376000,3.315019,67984806
2023-03-22,3.395500,3.503500,3.376000,3.383500,3.322383,91684723
2023-03-23,3.346000,3.390000,3.310000,3.319500,3.259539,39057142
2023-03-24,3.300000,3.312500,3.120500,3.220000,3.161837,93965324
2023-03-27,3.293000,3.341000,3.251500,3.290000,3.230572,75137854
2023-03-28,3.335500,3.364000,3.300500,3.323500,3.263467,47118700
2023-03-29,3.359000,3.394500,3.338000,3.381000,3.319929,38510420
2023-03-30,3.410000,3.486000,3.390000,3.452000,3.389646,49440730
2023-03-31,3.458000,3.479000,3.421000,3.426000,3.364116,49990231
2023-04-03,3.436000,3.490000,3.425000,3.438000,3.375899,25741078
2023-04-04,3.438500,3.494000,3.438500,3.446000,3.383754,36381196
2023-04-05,3.452000,3.470000,3.382500,3.418000,3.356260,28138567
2023-04-06,3.450000,3.524000,3.430000,3.524000,3.460346,29051709
2023-04-11,3.545000,3.560000,3.420000,3.424000,3.362152,56671643
2023-04-12,3.450000,3.510500,3.427000,3.482500,3.419595,33658485
2023-04-13,3.479500,3.499500,3.438500,3.479500,3.416649,21320477
2023-04-14,3.491500,3.610500,3.474500,3.610500,3.545283,40045034
2023-04-17,3.632000,3.633000,3.531000,3.539500,3.475566,44554080
2023-04-18,3.579000,3.646000,3.570000,3.600000,3.534973,224462865
2023-04-19,3.603500,3.641000,3.581000,3.637500,3.571795,166386643
2023-04-20,3.669000,3.705500,3.565500,3.581500,3.516807,66615063
2023-04-21,3.554500,3.561500,3.501000,3.544500,3.480475,115212443
2023-04-24,3.528000,3.566000,3.501500,3.541500,3.477530,23195840
